File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
spi_flash.o,41.074989%,4119,929,924,0,5,4114
uart.o,20.522537%,2058,1294,1284,0,10,2048
protocol.o,12.295572%,1233,2609,2608,0,1,1232
startup_stm32f10x_md.o,10.211408%,1024,272,36,236,0,1024
main.o,10.211408%,1024,1060,36,0,1024,0
pwmservo.o,2.273634%,228,996,992,0,4,224
app_ps2.o,1.416035%,142,1712,700,870,142,0
kinematics.o,0.877543%,88,1916,1916,0,0,88
action.o,0.319106%,32,412,380,0,32,0
system_stm32f10x.o,0.199442%,20,348,328,0,20,0
stm32f10x_rcc.o,0.199442%,20,812,792,0,20,0
ps2.o,0.089749%,9,368,368,0,0,9
mc_w.l,0.079777%,8,5168,5096,64,8,0
application.o,0.079777%,8,752,744,0,8,0
stdout.o,0.039888%,4,4,0,0,4,0
errno.o,0.039888%,4,16,12,0,4,0
systick.o,0.039888%,4,200,196,0,4,0
timer.o,0.029916%,3,369,366,0,3,0
