File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
mc_w.l,11.579914%,5168,8,5096,64,8,0
m_ws.l,8.649085%,3860,0,3340,520,0,0
OLED.o,7.600439%,3392,0,742,2650,0,0
Protocol.o,5.774272%,2577,1233,2576,0,1,1232
mf_w.l,5.211858%,2326,0,2326,0,0,0
printfa.o,5.171525%,2308,0,2308,0,0,0
Kinematics.o,4.293173%,1916,88,1916,0,0,88
App_Ps2.o,3.836071%,1712,142,700,870,142,0
Uart.o,3.741961%,1670,1038,1656,0,14,1024
main.o,2.753815%,1229,1029,200,0,1029,0
rred.o,2.473728%,1104,0,904,200,0,0
Application.o,2.410988%,1076,20,1056,0,20,0
Soft_I2C.o,2.289991%,1022,0,1022,0,0,0
PwmServo.o,2.231733%,996,228,992,0,4,224
SPI_Flash.o,2.081606%,929,4119,924,0,5,4114
scanf_fp.o,1.967331%,878,0,878,0,0,0
_scanf.o,1.819445%,812,0,812,0,0,0
stm32f10x_rcc.o,1.747743%,780,20,760,0,20,0
acos.o,1.604338%,716,0,636,80,0,0
atan.o,1.559524%,696,0,544,152,0,0
stm32f10x_usart.o,1.272715%,568,0,568,0,0,0
stm32f10x_gpio.o,1.066571%,476,0,476,0,0,0
Function.o,0.992628%,443,8,336,99,8,0
Action.o,0.923167%,412,32,380,0,32,0
Timer.o,0.826817%,369,3,366,0,3,0
Ps2.o,0.824576%,368,9,368,0,0,9
system_stm32f10x.o,0.779762%,348,20,328,0,20,0
dadd.o,0.748392%,334,0,334,0,0,0
_scanf_int.o,0.743911%,332,0,332,0,0,0
cos_i.o,0.672209%,300,0,252,48,0,0
sin_i.o,0.618432%,276,0,236,40,0,0
startup_stm32f10x_md.o,0.609469%,272,1024,36,236,0,1024
stm32f10x_tim.o,0.604988%,270,0,270,0,0,0
dmul.o,0.510879%,228,0,228,0,0,0
ddiv.o,0.497434%,222,0,222,0,0,0
SysTick.o,0.448139%,200,4,196,0,4,0
depilogue.o,0.416769%,186,0,186,0,0,0
fadd.o,0.394362%,176,0,176,0,0,0
poly.o,0.380918%,170,0,170,0,0,0
dsqrt.o,0.362993%,162,0,162,0,0,0
sin.o,0.358511%,160,0,160,0,0,0
cos.o,0.349548%,156,0,156,0,0,0
fdiv.o,0.277846%,124,0,124,0,0,0
Global.o,0.264402%,118,0,118,0,0,0
Ultrasonic.o,0.259921%,116,0,116,0,0,0
stm32f10x_spi.o,0.250958%,112,0,112,0,0,0
misc.o,0.250958%,112,0,112,0,0,0
Led.o,0.250958%,112,0,112,0,0,0
fepilogue.o,0.246477%,110,0,110,0,0,0
ctype_c.o,0.233032%,104,0,40,64,0,0
fmul.o,0.224070%,100,0,100,0,0,0
uldiv.o,0.219588%,98,0,98,0,0,0
dcmp4.o,0.215107%,96,0,96,0,0,0
rcc.o,0.210625%,94,0,94,0,0,0
__dczerorl2.o,0.192700%,86,0,86,0,0,0
sqrt.o,0.170293%,76,0,76,0,0,0
sys.o,0.161330%,72,0,72,0,0,0
fmin.o,0.147886%,66,0,66,0,0,0
fmax.o,0.147886%,66,0,66,0,0,0
_sgetc.o,0.143405%,64,0,64,0,0,0
dfixi.o,0.138923%,62,0,62,0,0,0
ServoPID.o,0.134442%,60,0,60,0,0,0
d2f.o,0.125479%,56,0,56,0,0,0
__0sscanf.o,0.125479%,56,0,56,0,0,0
Beep.o,0.116516%,52,0,52,0,0,0
ffixi.o,0.112035%,50,0,50,0,0,0
dfixul.o,0.107553%,48,0,48,0,0,0
cdrcmple.o,0.107553%,48,0,48,0,0,0
cdcmple.o,0.107553%,48,0,48,0,0,0
GY33T.o,0.107553%,48,0,48,0,0,0
dscalb.o,0.103072%,46,0,46,0,0,0
uidiv.o,0.098591%,44,0,44,0,0,0
ffixui.o,0.089628%,40,0,40,0,0,0
scanf_char.o,0.089628%,40,0,40,0,0,0
fpclassify.o,0.089628%,40,0,40,0,0,0
f2d.o,0.085146%,38,0,38,0,0,0
memseta.o,0.080665%,36,0,36,0,0,0
memcpya.o,0.080665%,36,0,36,0,0,0
llsshr.o,0.080665%,36,0,36,0,0,0
init.o,0.080665%,36,0,36,0,0,0
dflti.o,0.076184%,34,0,34,0,0,0
dunder.o,0.076184%,34,0,34,0,0,0
llushr.o,0.071702%,32,0,32,0,0,0
llshl.o,0.067221%,30,0,30,0,0,0
handlers.o,0.067221%,30,0,30,0,0,0
_chval.o,0.062739%,28,0,28,0,0,0
dfltui.o,0.058258%,26,0,26,0,0,0
dfltul.o,0.053777%,24,0,24,0,0,0
cfrcmple.o,0.044814%,20,0,20,0,0,0
cfcmple.o,0.044814%,20,0,20,0,0,0
fflti.o,0.040333%,18,0,18,0,0,0
strcpy.o,0.040333%,18,0,18,0,0,0
errno.o,0.035851%,16,4,12,0,4,0
strlen.o,0.031370%,14,0,14,0,0,0
ffltui.o,0.022407%,10,0,10,0,0,0
isspace_c.o,0.022407%,10,0,10,0,0,0
entry9a.o,0.017926%,8,0,8,0,0,0
entry2.o,0.017926%,8,0,8,0,0,0
stdout.o,0.008963%,4,4,0,0,4,0
entry5.o,0.008963%,4,0,4,0,0,0
