File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
SPI_Flash.o,45.599468%,4119,929,924,0,5,4114
Protocol.o,13.649950%,1233,2577,2576,0,1,1232
Uart.o,11.491199%,1038,1670,1656,0,14,1024
main.o,11.391564%,1029,1229,200,0,1029,0
startup_stm32f10x_md.o,11.336211%,1024,272,36,236,0,1024
PwmServo.o,2.524078%,228,996,992,0,4,224
App_Ps2.o,1.572014%,142,1712,700,870,142,0
Kinematics.o,0.974206%,88,1916,1916,0,0,88
Action.o,0.354257%,32,412,380,0,32,0
system_stm32f10x.o,0.221410%,20,348,328,0,20,0
stm32f10x_rcc.o,0.221410%,20,780,760,0,20,0
Application.o,0.221410%,20,1076,1056,0,20,0
Ps2.o,0.099635%,9,368,368,0,0,9
mc_w.l,0.088564%,8,5168,5096,64,8,0
Function.o,0.088564%,8,443,336,99,8,0
stdout.o,0.044282%,4,4,0,0,4,0
errno.o,0.044282%,4,16,12,0,4,0
SysTick.o,0.044282%,4,200,196,0,4,0
Timer.o,0.033212%,3,369,366,0,3,0
