File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
mc_w.l,12.065464%,5168,8,5096,64,8,0
m_ws.l,10.099689%,4326,0,4006,320,0,0
Protocol.o,7.239745%,3101,1285,3100,0,1,1284
mf_w.l,5.733897%,2456,0,2456,0,0,0
Kinematics.o,5.472416%,2344,0,2200,144,0,0
printfa.o,5.388369%,2308,0,2308,0,0,0
App_Ps2.o,3.996918%,1712,142,700,870,142,0
Uart.o,3.021035%,1294,2058,1284,0,10,2048
rred.o,2.577452%,1104,0,904,200,0,0
main.o,2.474727%,1060,1024,36,0,1024,0
PwmServo.o,2.325310%,996,228,992,0,4,224
Application.o,2.175892%,932,8,900,24,8,0
SPI_Flash.o,2.168889%,929,4119,924,0,5,4114
scanf_fp.o,2.049821%,878,0,878,0,0,0
_scanf.o,1.895735%,812,0,812,0,0,0
stm32f10x_rcc.o,1.895735%,812,20,792,0,20,0
stm32f10x_usart.o,1.564214%,670,0,670,0,0,0
Soft_I2C.o,1.550207%,664,0,664,0,0,0
atan2f.o,1.410128%,604,0,604,0,0,0
OLED.o,1.129970%,484,0,484,0,0,0
stm32f10x_gpio.o,1.111293%,476,0,476,0,0,0
stm32f10x_dma.o,0.999230%,428,0,428,0,0,0
Action.o,0.961875%,412,32,380,0,32,0
sinf.o,0.915182%,392,0,392,0,0,0
rredf.o,0.915182%,392,0,360,32,0,0
cosf.o,0.887166%,380,0,380,0,0,0
Timer.o,0.861485%,369,3,366,0,3,0
Ps2.o,0.859151%,368,9,368,0,0,9
system_stm32f10x.o,0.812458%,348,20,328,0,20,0
dadd.o,0.779773%,334,0,334,0,0,0
_scanf_int.o,0.775103%,332,0,332,0,0,0
cos_i.o,0.700395%,300,0,252,48,0,0
sin_i.o,0.644363%,276,0,236,40,0,0
startup_stm32f10x_md.o,0.635024%,272,1024,36,236,0,1024
stm32f10x_tim.o,0.630355%,270,0,270,0,0,0
dmul.o,0.532300%,228,0,228,0,0,0
ddiv.o,0.518292%,222,0,222,0,0,0
SysTick.o,0.466930%,200,4,196,0,4,0
depilogue.o,0.434245%,186,0,186,0,0,0
fadd.o,0.410898%,176,0,176,0,0,0
poly.o,0.396890%,170,0,170,0,0,0
dsqrt.o,0.378213%,162,0,162,0,0,0
sin.o,0.373544%,160,0,160,0,0,0
cos.o,0.364205%,156,0,156,0,0,0
fdiv.o,0.289496%,124,0,124,0,0,0
Global.o,0.275489%,118,0,118,0,0,0
Ultrasonic.o,0.270819%,116,0,116,0,0,0
stm32f10x_spi.o,0.261481%,112,0,112,0,0,0
misc.o,0.261481%,112,0,112,0,0,0
fepilogue.o,0.256811%,110,0,110,0,0,0
ctype_c.o,0.242803%,104,0,40,64,0,0
fmul.o,0.233465%,100,0,100,0,0,0
uldiv.o,0.228796%,98,0,98,0,0,0
dcmp4.o,0.224126%,96,0,96,0,0,0
fsqrt.o,0.219457%,94,0,94,0,0,0
rcc.o,0.219457%,94,0,94,0,0,0
__dczerorl2.o,0.200780%,86,0,86,0,0,0
sqrt.o,0.177433%,76,0,76,0,0,0
sys.o,0.168095%,72,0,72,0,0,0
fmin.o,0.154087%,66,0,66,0,0,0
fmax.o,0.154087%,66,0,66,0,0,0
_sgetc.o,0.149418%,64,0,64,0,0,0
dfixi.o,0.144748%,62,0,62,0,0,0
frnd.o,0.140079%,60,0,60,0,0,0
ServoPID.o,0.140079%,60,0,60,0,0,0
d2f.o,0.130740%,56,0,56,0,0,0
__0sscanf.o,0.130740%,56,0,56,0,0,0
Led.o,0.130740%,56,0,56,0,0,0
Beep.o,0.121402%,52,0,52,0,0,0
ffixi.o,0.116732%,50,0,50,0,0,0
dfixul.o,0.112063%,48,0,48,0,0,0
cdrcmple.o,0.112063%,48,0,48,0,0,0
dscalb.o,0.107394%,46,0,46,0,0,0
uidiv.o,0.102725%,44,0,44,0,0,0
sqrtf.o,0.102725%,44,0,44,0,0,0
ffixui.o,0.093386%,40,0,40,0,0,0
scanf_char.o,0.093386%,40,0,40,0,0,0
fpclassify.o,0.093386%,40,0,40,0,0,0
f2d.o,0.088717%,38,0,38,0,0,0
fpclassifyf.o,0.088717%,38,0,38,0,0,0
memseta.o,0.084047%,36,0,36,0,0,0
memcpya.o,0.084047%,36,0,36,0,0,0
llsshr.o,0.084047%,36,0,36,0,0,0
init.o,0.084047%,36,0,36,0,0,0
dflti.o,0.079378%,34,0,34,0,0,0
dunder.o,0.079378%,34,0,34,0,0,0
llushr.o,0.074709%,32,0,32,0,0,0
llshl.o,0.070039%,30,0,30,0,0,0
handlers.o,0.070039%,30,0,30,0,0,0
_chval.o,0.065370%,28,0,28,0,0,0
funder.o,0.065370%,28,0,28,0,0,0
dfltui.o,0.060701%,26,0,26,0,0,0
fscalb.o,0.056032%,24,0,24,0,0,0
dfltul.o,0.056032%,24,0,24,0,0,0
cfrcmple.o,0.046693%,20,0,20,0,0,0
cfcmple.o,0.046693%,20,0,20,0,0,0
fflti.o,0.042024%,18,0,18,0,0,0
strcpy.o,0.042024%,18,0,18,0,0,0
errno.o,0.037354%,16,4,12,0,4,0
strlen.o,0.032685%,14,0,14,0,0,0
ffltui.o,0.023346%,10,0,10,0,0,0
isspace_c.o,0.023346%,10,0,10,0,0,0
entry9a.o,0.018677%,8,0,8,0,0,0
entry2.o,0.018677%,8,0,8,0,0,0
stdout.o,0.009339%,4,4,0,0,4,0
entry5.o,0.009339%,4,0,4,0,0,0
